tweet,happy_score,angry_score,surprise_score,sad_score,fear_score
here is today's daily pa briefing for verified updates on the coronavirus outbreak the top story on sunday march 29 sees cabinet minister michael gove claim the length of the uk lockdown depends on how stringently the public stick to the rules,0.0,0.0,0.5,0.0,0.5
this woman is delivering books on her exercise time during the uk lockdown,0.0,0.0,0.0,1.0,0.0
the llandudno goat invasion is one my favourite uklockdown stories,0.5,0.5,0.0,0.0,0.0
yeah none of that was the point your arrogance &amp; rudeness is incredibly unprofessional the publication was irresponsible and the affiliate partners program still running on a live piece of copy during the uklockdown is very jarring your cognitive dissonance is remarkable,0.2,0.0,0.2,0.2,0.4
uk lockdown day 6 boxing fight: erik morales vs manny pacquiao both men in so many classics this is one of the best uklockdown stayhomesavelives hbo boxing classicfight,0.25,0.0,0.25,0.25,0.25
"clients construction sites are still open workshops open to produce for them 2 meter rule impossible to comply with yet i am still to tell the lads ""your health and safety is our top priority ""uklockdown coronavirus staysafestayhome",0.0,0.0,0.14,0.14,0.71
the amazing acts of kindness happening in gloucestershire during the uk lockdown,0.0,0.0,1.0,0.0,0.0
planning to stay healthy while you selfisolate here's our review of honestly good organic smoothies which can be home delivered: 👉 👈 [ad-gifted] blogger uk influencer covid_19 foodblogger ukbloggers fitness uklockdown,0.33,0.33,0.0,0.33,0.0
when you're new to twitter wholly unholy up all night n looking for local gay bi queer content - - uk lockdown woes,0.2,0.0,0.0,0.4,0.4
it's shocking how don't care about anything he opens because he only cares about the money not the staff what he says its all bs the company treats staff like slaves and employ bully managers let's make the shop look pretty for a visit so pointless 🤦 uklockdown,0.11,0.11,0.33,0.33,0.11
today was my wife's first experience of uklockdown i'd seen the empty streets closed shops and deserted parks from my bike but she was left reeling and upset after our big shop today that feeling must be amplified for the vulnerable + lonely let's look out for each other,0.12,0.0,0.12,0.5,0.25
we did it it’s finallyfriday and we’ve made it through the first proper week of the uklockdown whether you’ve had a full house or are home alone been homeschooling or working from home or you’re one of the thousands of key workers keeping the country going,0.1,0.0,0.1,0.5,0.3
stricter uk lockdown until june - prepare yourself- announcement next week sometime 🚨🚨🚨🚨,0.0,0.0,0.0,0.0,0.0
mate there a woman on my facebook that’s convinced the whole uk lockdown is so we bow to our “great overlords” because we’re all “sheep”,0.5,0.0,0.0,0.0,0.5
this is a dramatically new time with many unexpected realities but some things stay the same and once again i gave songs of praise a miss coronadiaries uklockdown staythefuckhome sundaythoughts,0.2,0.2,0.2,0.2,0.2
uklockdown has actually resulted in me dreaming about ordering pain au chocolats on amazon prime and then waking up to the disappointment of finding out they don’t actually sell them and i can’t get snacks 😞😞,0.0,0.0,0.5,0.25,0.25
my 4yo's rainbow 🌈 preschoolers parenting kidscrafts kidsart kidspainting childrenscraft childrenspainting painting stayinreachout physicaldistancing uklockdown covid_19 socialdistancing…,0.0,0.0,0.0,0.0,1.0
are the kids driving you crazy during the uklockdown take a look at our ideas to keep them entertained,0.33,0.0,0.0,0.0,0.67
seems the world is never happy williamandkate mentalhealth uklockdown coronalockdownuk,0.5,0.0,0.0,0.5,0.0
a farmer just shut down the bbc news presenter trying to create a narrative that farmers are under increasing pressure to produce more food 🙄 “nah we’re dependent on fuel and deliveries but there’s plenty food” must be a slow news day monday coronavirustruth uklockdown,0.5,0.5,0.0,0.0,0.0
aham aham but boris johnson is not koruppt uklockdown coronavirusoutbreak,0.0,0.0,0.0,0.0,0.0
day 6: i mean if you can’t dye the tips of your hair pink during lockdown when can you really i fear a britney circa 2007 breakdown may be imminent uklockdown,0.17,0.0,0.33,0.33,0.17
what have you got stuck up your nose while trying to invent something uklockdown,0.0,0.0,0.0,0.0,1.0
how not to destroy your relationship when you’re spending all your time together💕 adult uklockdown 👉,0.0,0.0,0.0,0.0,1.0
if you have time to kill why not learn something for free with the ou uklockdown,0.33,0.33,0.33,0.0,0.0
right bad boy get ready to be arm barred 😆🤙🏻💪🏻 thingsgotweird lockdown uklockdown bjj bjjlifestyle gjj brazilianjiujitsu graciejiujitsu grapplingdummy diygrapplingdummy,0.25,0.0,0.0,0.5,0.25
